marca|modelo|categoria|precio_mxn|rango|combustible|transmision|url
Audi|Audi A3 Sedán 35 TFSI S line|Sedán|874900.0|$850,000 – $899,999|Gasolina|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/a3-sedan/35-tfsi-s-line/172047
Audi|Audi A5 Sportback Dynamic|Sedán|974900.0|$950,000 – $999,999|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/a5-sportback/dynamic/172667
Audi|Audi A6 TFSI 40 Select|Sedán|1189900.0|$1,150,000 – $1,199,999|Gasolina - Eléctrico|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/a6/tfsi-40-select/171751
Audi|Audi A6 TFSI 45 Elite|Sedán|1384900.0|Más de $1,200,000|Gasolina - Eléctrico|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/a6/tfsi-45-elite/171752
Audi|Audi A6 TFSI 45 S line|Sedán|1404900.0|Más de $1,200,000|Gasolina - Eléctrico|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/a6/tfsi-45-s-line/171753
Audi|Audi A6 Sportback e-tron Advanced RWD|Sedán|1559900.0|Más de $1,200,000|eléctrico|automática 1 velocidad|https://www.autocosmos.com.mx/catalogo/2025/audi/a6-sportback-e-tron/advanced-rwd/172804
Audi|Audi A6 Sportback e-tron quattro S line|Sedán|1699900.0|Más de $1,200,000|eléctrico|automática 1 velocidad|https://www.autocosmos.com.mx/catalogo/2025/audi/a6-sportback-e-tron/quattro-s-line/172805
Audi|Audi A8 55 TFSI Premium|Sedán|2329900.0|Más de $1,200,000|Gasolina - Eléctrico|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/a8/55-tfsi-premium/172884
Audi|Audi A8 L60 TFSI Premium|Sedán|3464900.0|Más de $1,200,000|Gasolina - Eléctrico|Tiptronic 8 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/a8/l60-tfsi-premium/172885
Audi|Audi Q2 35 TFSI Dynamic|SUV|724900.0|$700,000 – $749,999|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q2/35-tfsi-dynamic/171888
Audi|Audi Q2 35 TFSI Select|SUV|769900.0|$750,000 – $799,999|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q2/35-tfsi-select/171889
Audi|Audi Q2 35 TFSI Sport|SUV|814900.0|$800,000 – $849,999|Gasolina|automática 8 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q2/35-tfsi-sport/171890
Audi|Audi Q3 35 TFSI Dynamic|SUV|854900.0|$850,000 – $899,999|Gasolina|S-Tronic de 6 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q3/35-tfsi-dynamic/172886
Audi|Audi Q3 35 TFSI Select|SUV|899900.0|$850,000 – $899,999|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q3/35-tfsi-select/172887
Audi|Audi Q3 35 TFSI S Line|SUV|949900.0|$900,000 – $949,999|Gasolina|S-Tronic de 6 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q3/35-tfsi-s-line/172888
Audi|Audi Q3 40 TFSI Select|SUV|974900.0|$950,000 – $999,999|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q3/40-tfsi-select/172889
Audi|Audi Q3 Sportback 35 TFSI Select|SUV|924900.0|$900,000 – $949,999|Gasolina|S-Tronic de 6 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q3-sportback/35-tfsi-select/172897
Audi|Audi Q3 Sportback 40 TFSI S Line|SUV|1049900.0|$1,000,000 – $1,049,999|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/audi/q3-sportback/40-tfsi-s-line/172898
Audi|Audi Q5 2.0T Select|SUV|1199900.0|$1,150,000 – $1,199,999|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q5/20t-select/172102
Audi|Audi Q5 2.0T Elite|SUV|1279900.0|Más de $1,200,000|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q5/20t-elite/172103
Audi|Audi Q5 2.0T S Line|SUV|1314900.0|Más de $1,200,000|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q5/20t-s-line/172104
Audi|Audi Q5 Sportback 45 TFSI Select|SUV|1299900.0|Más de $1,200,000|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q5-sportback/45-tfsi-select/172237
Audi|Audi Q5 Sportback 45 TFSI Elite|SUV|1384900.0|Más de $1,200,000|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q5-sportback/45-tfsi-elite/172238
Audi|Audi Q5 Sportback 45 TFSI S Line|SUV|1419900.0|Más de $1,200,000|Gasolina|S-Tronic de 7 velocidades|https://www.autocosmos.com.mx/catalogo/2025/audi/q5-sportback/45-tfsi-s-line/172239
Audi|Audi Q6 e-tron 55 Advanced quattro|SUV||No disponible|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2025/audi/q6-e-tron/55-advanced-quattro/172049
Audi|Audi Q6 e-tron 55 S line quattro|SUV||No disponible|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2025/audi/q6-e-tron/55-s-line-quattro/172050
